"","Data_leaftype","experiment","variable","median","mean","sd","N"
"1","Heated","2","GasEx_A",1.52226083,1.69592900539611,1.09015441909527,123
"2","Unheated","2","GasEx_A",1.52226083,1.69592900539611,1.09015441909527,120
"3","Control","2","GasEx_A",1.52226083,1.69592900539611,1.09015441909527,127
"4","Heated","3-1","GasEx_A",1.52226083,1.69592900539611,1.09015441909527,76
"5","Unheated","3-1","GasEx_A",1.52226083,1.69592900539611,1.09015441909527,81
"6","Control","3-1","GasEx_A",1.52226083,1.69592900539611,1.09015441909527,83
"7","Heated","3-2","GasEx_A",1.52226083,1.69592900539611,1.09015441909527,27
"8","Unheated","3-2","GasEx_A",1.52226083,1.69592900539611,1.09015441909527,41
"9","Control","3-2","GasEx_A",1.52226083,1.69592900539611,1.09015441909527,30
"10","Heated","2","GasEx_gsw",0.02792193,0.033549182259887,0.0206477734620243,123
"11","Unheated","2","GasEx_gsw",0.02792193,0.033549182259887,0.0206477734620243,120
"12","Control","2","GasEx_gsw",0.02792193,0.033549182259887,0.0206477734620243,127
"13","Heated","3-2","GasEx_gsw",0.02792193,0.033549182259887,0.0206477734620243,76
"14","Unheated","3-2","GasEx_gsw",0.02792193,0.033549182259887,0.0206477734620243,81
"15","Control","3-2","GasEx_gsw",0.02792193,0.033549182259887,0.0206477734620243,83
"16","Heated","3-2","GasEx_gsw",0.02792193,0.033549182259887,0.0206477734620243,27
"17","Unheated","3-2","GasEx_gsw",0.02792193,0.033549182259887,0.0206477734620243,41
"18","Control","3-2","GasEx_gsw",0.02792193,0.033549182259887,0.0206477734620243,30
"19","Heated","2","GasEx_Emm",0.73673889,0.839905234223164,0.479926395625999,123
"20","Unheated","2","GasEx_Emm",0.73673889,0.839905234223164,0.479926395625999,120
"21","Control","2","GasEx_Emm",0.73673889,0.839905234223164,0.479926395625999,127
"22","Heated","3-1","GasEx_Emm",0.73673889,0.839905234223164,0.479926395625999,76
"23","Unheated","3-1","GasEx_Emm",0.73673889,0.839905234223164,0.479926395625999,81
"24","Control","3-1","GasEx_Emm",0.73673889,0.839905234223164,0.479926395625999,83
"25","Heated","3-2","GasEx_Emm",0.73673889,0.839905234223164,0.479926395625999,27
"26","Unheated","3-2","GasEx_Emm",0.73673889,0.839905234223164,0.479926395625999,41
"27","Control","3-2","GasEx_Emm",0.73673889,0.839905234223164,0.479926395625999,30
"28","Heated","2","GasEx_VPDleaf",2.14778729,2.30188331444915,0.728537429162961,123
"29","Unheated","2","GasEx_VPDleaf",2.14778729,2.30188331444915,0.728537429162961,120
"30","Control","2","GasEx_VPDleaf",2.14778729,2.30188331444915,0.728537429162961,127
"31","Heated","3-1","GasEx_VPDleaf",2.14778729,2.30188331444915,0.728537429162961,76
"32","Unheated","3-1","GasEx_VPDleaf",2.14778729,2.30188331444915,0.728537429162961,81
"33","Control","3-1","GasEx_VPDleaf",2.14778729,2.30188331444915,0.728537429162961,83
"34","Heated","3-2","GasEx_VPDleaf",2.14778729,2.30188331444915,0.728537429162961,27
"35","Unheated","3-2","GasEx_VPDleaf",2.14778729,2.30188331444915,0.728537429162961,41
"36","Control","3-2","GasEx_VPDleaf",2.14778729,2.30188331444915,0.728537429162961,30
