Filenames_filename,Data_group,Data_remarks,Data_plant_id,Data_leaftype,SysObs_obs,SysObs_time,SysObs_elapsed,SysObs_date,SysObs_hhmmss,GasEx_E,GasEx_Emm,GasEx_A,GasEx_Ca,GasEx_Ci,GasEx_gsw,GasEx_TleafCnd,GasEx_RHcham,GasEx_VPcham,GasEx_VPDleaf,FLR_Fv/Fm,FLR_A_dark,FLR_A_fs,FLR_ETR,FLR_NPQ,FLR_Fv'/Fm',LeafQ_Qin,Meas_Pa,Meas_Tair,Meas_Tleaf,Meas_Fan_speed,Meas_CO2_s,Meas_H2O_r,Meas_H2O_s,Meas_CO2_r,f
2023-11-22-1138_logdata,group3,"12:07:20 tret, 12:07:21 tret",2,Heated,6,1668543540,270,2023-11-22,13:19:00,5.6219e-4,0.56219305,2.04195352,306.8917222,172.8677833,0.02616958,32.32278868,65.1306473,3.02215069,1.8408703,0.74251629,NA,2.04195352,44.07432696,0.9249605,0.59969223,700.0108667,88.83671333,31.49444667,31.56686667,5010.66666666667,306.891733333333,33.4372266666667,33.9809333333333,309.1958,FALSE
2023-11-22-1138_logdata,group3,"12:07:20 tret, 12:07:21 tret",2,Heated,5,1668543485,215,2023-11-22,13:18:05,5.5602e-4,0.5560207,1.97234061,306.8508642,176.2848447,0.02599583,32.26982636,65.19446384,3.01550379,1.83299267,0.74251629,NA,1.97234061,42.8750144,0.90682673,0.60196225,700.0095625,88.83785625,31.4384625,31.50543125,5005.625,306.850875,33.36195,33.9057375,308.8803125,FALSE
2023-11-22-1138_logdata,group3,"12:07:20 tret, 12:07:21 tret",2,Heated,4,1668543420,150,2023-11-22,13:17:00,5.8814e-4,0.58813812,2.09102914,307.4191761,177.730298,0.02776297,32.19520213,65.33409443,3.01140924,1.81668615,0.74251629,NA,2.09102914,40.94087365,0.87530054,0.60594994,699.9956875,88.8362875,31.376925,31.46544375,5005.3125,307.4191875,33.290025,33.8603,309.4888125,FALSE
2023-11-22-1138_logdata,group3,"12:07:20 tret, 12:07:21 tret",2,Heated,3,1668543372,102,2023-11-22,13:16:12,5.6656e-4,0.56655963,1.95157395,307.1444271,182.011622,0.0269184,32.15154113,65.53205399,3.01159505,1.80459881,0.74251629,NA,1.95157395,39.10997256,0.83277189,0.61141377,700.0409375,88.837175,31.3248125,31.39955,5010.9375,307.1444375,33.312075,33.86206875,309.5278125,FALSE
2023-11-22-1138_logdata,group3,"12:07:20 tret, 12:07:21 tret",2,Heated,2,1668543327,57,2023-11-22,13:15:27,5.6287e-4,0.562875,1.97657704,307.1308645,180.8019445,0.02696726,32.09908915,65.7479953,3.01206073,1.78986903,0.74251629,NA,1.97657704,35.17756132,0.77038646,0.61960936,699.9961875,88.83983125,31.26970625,31.31255,4997.8125,307.130875,33.323225,33.86624375,309.3500625,FALSE
2023-11-22-1138_logdata,group3,"12:07:20 tret, 12:07:21 tret",2,Heated,1,1668543270,0,2023-11-22,13:14:30,5.8417e-4,0.58417031,1.79220049,307.720124,197.6009081,0.02839979,31.98925204,66.01954358,3.00709419,1.76508493,0.74251629,NA,1.79220049,23.38341677,0.57101581,0.6473397,699.9976667,88.84233333,31.16831333,31.20378,4995.33333333333,307.720133333333,33.2563866666667,33.8095,309.8680667,FALSE
2023-11-22-1138_logdata,group2,"11:57:25 control, 11:57:26 control",2,Unheated,6,1668542922,258,2023-11-22,13:08:42,7.2426e-4,0.72426037,2.05740737,310.3675224,213.7373215,0.03758487,31.66392453,67.45014439,3.02565063,1.65934926,0.74251629,NA,2.05740737,44.16840628,0.89235866,0.60378576,700.0238667,88.86212,30.90015333,30.64084,4993.83333333333,310.367533333333,33.30118,34.0105266666667,311.9911333,FALSE
2023-11-22-1138_logdata,group2,"11:57:25 control, 11:57:26 control",2,Unheated,5,1668542868,204,2023-11-22,13:07:48,7.1224e-4,0.71224471,2.60049607,308.9840485,189.122278,0.03745352,31.58881099,67.79379172,3.02745522,1.63761441,0.74251629,NA,2.60049607,42.79818861,0.88230729,0.60505911,699.98825,88.86245625,30.8215625,30.5702625,5011.5625,308.9840625,33.34093125,34.03071875,311.6019375,FALSE
2023-11-22-1138_logdata,group2,"11:57:25 control, 11:57:26 control",2,Unheated,4,1668542817,153,2023-11-22,13:06:57,7.0402e-4,0.70401763,3.45529766,310.7476062,153.8494349,0.03727301,31.52370101,67.9206501,3.02115335,1.62670009,0.74251629,NA,3.45529766,41.56607311,0.86807318,0.60687157,699.9766875,88.86294375,30.7523375,30.5030875,5003.125,310.747625,33.27855625,33.95969375,313.644625,FALSE
2023-11-22-1138_logdata,group2,"11:57:25 control, 11:57:26 control",2,Unheated,3,1668542760,96,2023-11-22,13:06:00,7.2297e-4,0.72297239,3.65430961,312.2318477,152.7578763,0.03874924,31.43211908,68.13118634,3.01591822,1.60781304,0.74251629,NA,3.65430961,39.9547842,0.84385936,0.60997985,699.9978667,88.85906667,30.66782,30.41810667,4996,312.231866666667,33.2065933333333,33.9022933333333,314.5750667,FALSE
