Filenames_filename,Data_group,Data_remarks,Data_plant_id,Data_leaftype,SysObs_obs,SysObs_time,SysObs_elapsed,SysObs_date,SysObs_hhmmss,GasEx_E,GasEx_Emm,GasEx_A,GasEx_Ca,GasEx_Ci,GasEx_gsw,GasEx_TleafCnd,GasEx_RHcham,GasEx_VPcham,GasEx_VPDleaf,FLR_Fv/Fm,FLR_A_dark,FLR_A_fs,FLR_ETR,FLR_NPQ,FLR_Fv'/Fm',LeafQ_Qin,Meas_Pa,Meas_Tair,Meas_Tleaf,Meas_Fan_speed,Meas_CO2_s,Meas_H2O_r,Meas_H2O_s,Meas_CO2_r,f
2024-03-13-1130_logdata_lvl2,group1,"11:46:57 lvl2_trt, 11:46:58 lvl2_trt",2,BAD_environment,6,1710356073,362,2024-03-13,11:54:33,9.87e-4,0.98699729,2.98318499,995.7843175,786.8468558,0.02981954,25.35448747,11.38472715,0.36181925,2.88568214,0.7857929,-0.221181376,2.98318499,27.64811377,0.98597253,0.64877097,500.0244667,88.07592667,24.99173333,25.04396667,4999.666666666667,995.7843333333332,3.1172226666666663,4.103378,999.9915333,FALSE
2024-03-13-1130_logdata_lvl2,group1,"11:46:57 lvl2_trt, 11:46:58 lvl2_trt",2,BAD_environment,5,1710355972,261,2024-03-13,11:52:52,0.00106132,1.06131869,3.29829643,995.6225452,782.9735863,0.03219563,25.30808906,11.41717122,0.36251741,2.87603532,0.7857929,-0.221181376,3.29829643,27.54212761,0.88944487,0.66003875,500.0095,88.07021875,24.9763375,25.0077,5004.53125,995.6225625,3.0500275,4.111560625,999.9944375,FALSE
2024-03-13-1130_logdata_lvl2,group1,"11:46:57 lvl2_trt, 11:46:58 lvl2_trt",2,BAD_environment,4,1710355898,187,2024-03-13,11:51:38,0.0011174,1.11740313,3.52795946,995.4783813,780.908902,0.03401719,25.26763981,11.45509851,0.36335117,2.86741789,0.7857929,-0.221181376,3.52795946,27.09519182,0.81567198,0.66891776,500.0064,88.06475333,24.95924667,24.98758,5007.833333333333,995.4784,3.0038286666666667,4.121277333333333,999.997,FALSE
2024-03-13-1130_logdata_lvl2,group1,"11:46:57 lvl2_trt, 11:46:58 lvl2_trt",2,BAD_environment,3,1710355838,127,2024-03-13,11:50:38,0.00116652,1.16651729,3.11702575,995.4451708,806.2641473,0.03558891,25.24841711,11.48409294,0.36428573,2.86279002,0.7857929,-0.221181376,3.11702575,27.22590974,0.74721243,0.67737368,500.0000625,88.06574375,24.95993125,24.98946875,4993.28125,995.4451875,2.967718125,4.131825624999999,999.969875,FALSE
2024-03-13-1130_logdata_lvl2,group1,"11:46:57 lvl2_trt, 11:46:58 lvl2_trt",2,BAD_environment,2,1710355767,56,2024-03-13,11:49:27,0.00122517,1.22517191,3.17424947,995.4212333,810.8559397,0.03748554,25.22347718,11.54084712,0.36607456,2.85621492,0.7857929,-0.221181376,3.17424947,25.96945942,0.67638503,0.68635006,500.0399375,88.06223125,24.95940625,24.991025,4997.96875,995.42125,2.92525375,4.1522725,999.971875,FALSE
2024-03-13-1130_logdata_lvl2,group1,"11:46:57 lvl2_trt, 11:46:58 lvl2_trt",2,BAD_environment,1,1710355711,0,2024-03-13,11:48:31,0.00129735,1.29734932,3.44729214,995.3641814,807.9445763,0.03983968,25.20118101,11.66667792,0.37023529,2.84778054,0.7857929,-0.221181376,3.44729214,24.4325189,0.62038617,0.69361732,500.0512667,88.06054667,24.96708,24.96186667,4999.833333333333,995.3642,2.893419999999999,4.199556666666667,999.9907333,FALSE
2024-03-13-1130_logdata_lvl2,group2,"11:56:24 lvl2_ref_preious_cont, 11:56:49 lvl2_real_cont, 11:56:50 lvl2_real_cont",2,BAD_environment,2,1710356739,97,2024-03-13,12:05:39,0.00216396,2.16395948,6.95467424,990.7966294,790.6601997,0.07239556,24.82405003,16.02575689,0.50803382,2.63844151,0.7857929,-0.221181376,6.95467424,37.90472445,0.41098099,0.72221286,500.0221333,88.029,24.94945333,23.68492,5003.166666666667,990.7966666666666,3.605145333333333,5.764659333333332,999.9795333,FALSE
2024-03-13-1130_logdata_lvl2,group2,"11:56:24 lvl2_ref_preious_cont, 11:56:49 lvl2_real_cont, 11:56:50 lvl2_real_cont",2,BAD_environment,1,1710356642,0,2024-03-13,12:04:02,0.00237096,2.37096458,6.86207662,990.9169011,808.1247881,0.08044176,24.73358247,16.43839826,0.52097679,2.6085453,0.7857929,-0.221181376,6.86207662,34.59227473,0.30781623,0.73718552,499.9946875,88.0399125,24.94500625,23.5161125,4996.875,990.9169375,3.531844375,5.910795625,999.9885625,FALSE
2023-11-17-1144_logdata-tc-heat,group6,"12:44:44 tc-shade5, 12:44:50 tc-shade5",2,shade5,6,1700254847,264,2023-11-17,13:00:47,4.5627e-4,0.45627488,1.17318352,296.1139937,233.8805935,0.03357122,29.7813,65.51086533,3.03913665,1.16808563,0.80043795,-0.359218189,1.17318352,12.84184459,0.93871056,0.67414895,499.986,88.57028125,31.49064375,29.7813,5001.366875,296.114,33.83295,34.2746,297.4494375,FALSE
2023-11-17-1144_logdata-tc-heat,group6,"12:44:44 tc-shade5, 12:44:50 tc-shade5",2,shade5,4,1700254734,151,2023-11-17,12:58:54,4.7162e-4,0.47161772,1.12595256,296.1761189,238.0776488,0.03480038,29.786975,65.62748175,3.04341713,1.16517898,0.80043795,-0.359218189,1.12595256,11.17043426,0.80178268,0.6900295,499.97025,88.574025,31.4841125,29.786975,5000.235000000001,296.176125,33.85751875,34.321406249999995,297.4491875,FALSE
