Group,TC_Name,Intercept,Slope,Quadratic,Cold_Reference,Cold_Actual,Warm_Reference,Warm_Actual,calc_slope,calc_Intercept
Group1,T103,-2.5112,1.0223,0,20,22.02,42,43.54,1.022304833,-2.511152416
Group1,T105,-3.6912,1.0107,0,20,23.44,42,45.2067,1.010718207,-3.691234776
Group1,T109,-4.1935,1.0625,0,20,22.77,43,44.4167,1.062517612,-4.193526034
Group1,T118,-3.6352,1.0157,0,20,23.27,43.3,46.21,1.015693112,-3.635178727
Group1,T107,-3.7182,1.0541,0,20,22.5,43.5,44.793,1.054142556,-3.718207509
Group2,T115,-1.9282,1.0463,0,21,21.914,38,38.162,1.046282619,-1.928237322
Group2,T104,-2.2076,1.0349,0,21,22.424,38,38.85,1.0349446,-2.207597711
Group2,T106,-3.9144,1.1191,0,21,22.262,34,33.878,1.119146006,-3.914428375
Group2,T113,-3.496,1.1118,0,21,22.032,38,37.322,1.111837802,-3.496010464
Group2,T112,-5.574,1.1665,0,21.5,23.21,34,33.926,1.16648003,-5.574001493
Group3,T114,1.3777,0.9368,0,19.5,19.345,42,43.363,0.936797402,1.377654259
Group3,T121,-0.1739,0.9673,0,22,22.923,45,46.7,0.967321361,-0.173907558
Group3,T117,-0.4836,0.9549,0,19.25,20.665,40.5,42.918,0.954927426,-0.483575248
Group3,T102,1.0631,0.9375,0,19.5,19.667,39,40.468,0.93745493,1.063073891
Group3,T101,-0.5906,0.9844,0,19.25,20.155,45,46.313,0.984402477,-0.590631929
Spare,T122,-0.1105,0.9769,0,19.5,20.075,42,43.108,0.976859289,-0.110450224
Spare,T110,-1.9483,1.0228,0,19.5,20.97,41.25,42.235,1.02280743,-1.948271808
Spare,T120,-2.0544,1.0279,0,19.5,20.97,42,42.86,1.027866606,-2.054362723
Spare,T123,-0.945,0.9572,0,19.5,21.36,38,40.688,0.957160596,-0.944950331
